,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
0,Frankenstein,['Not Rated'],"['Gothic Horror', ""Frankenstien's Monster"", 'Monster']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United States'],12001435.0
1,King Kong,['Not Rated'],"['Nature Horror', 'Animal Lead', 'Animals Gone Bad', 'Set in New York City', 'Set in New York']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],10001781.0
2,Snow White and the Seven Dwarfs,['G'],"['Intertitle', 'Prologue', 'Royalty', 'Dwarves', 'Prince/Princess', 'Love at First Sight', 'Step-Family', 'Mute']",['Based on Folk Tale/Legend/Fairytale'],['Hand Animation'],['Kids Fiction'],['United States'],187171725.0
3,Alexander's Ragtime Band,['Not Rated'],"['Historical Drama', '1910s', '1920s', '1930s', 'Musicians', 'Singers', 'Jazz', 'Ensemble']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],4000000.0
4,The Wizard of Oz,['PG-13'],"['Same Actor, Multiple Roles', '3D Re-release', 'Living Scarecrow', '3-D', '3-D - Post-production Conversion', 'IMAX: DMR']",['Based on Fiction Book/Short Story'],['Live Action'],['Fantasy'],['United States'],34989211.0
5,Mr. Smith Goes To Washington,['Not Rated'],"['Comedy Drama', 'Political', 'Washington, D.C.', 'Government Corruption', 'Romance', 'Media Circus', 'Framed']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],9000000.0
6,Gone with the Wind,['G'],"['Civil War', 'War', 'Historical Drama']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],390525192.0
7,Pinocchio,['G'],"['Living Toys', 'Human Animal Transformation', 'Fairy Godmother', 'Animal Lead', 'Talking Animals', 'Marooned', 'Rescue', 'Prologue', 'Coming of Age', 'Juvenile Delinquent', 'Kidnap']",['Based on Fiction Book/Short Story'],['Hand Animation'],['Kids Fiction'],['United States'],84300000.0
8,Boom Town,['Not Rated'],['Romance'],['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],9172000.0
9,Rebecca,['Not Rated'],"['Film Noir', 'Voiceover/Narration', 'Romance', 'Orphan', 'Unnamed Character', 'Directing Yourself', 'Infidelity', 'Suicide', 'Relationships Gone Wrong', 'Surprise Twist', 'Terminal Illness', 'Cross-Class Romance', 'LGBTQ+', 'Accidental Death', 'Prologue', 'Psychological Thriller', 'Remade']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],6002370.0
10,The Philadelphia Story,['Not Rated'],['Romance'],['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],3007145.0
