,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
0,Frankenstein,['Not Rated'],"['Monster', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United States'],12001435.0
1,King Kong,['Not Rated'],"['Set in New York', 'Animals Gone Bad', 'Animal Lead', 'Set in New York City', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],10001781.0
2,Snow White and the Seven Dwarfs,['G'],"['Intertitle', 'Prologue', 'Other_Keywords', 'Royalty']",['Based on Folk Tale/Legend/Fairytale'],['Hand Animation'],['Kids Fiction'],['United States'],187171725.0
3,Alexander's Ragtime Band,['Not Rated'],"['Historical Drama', 'Singers', 'Musicians', 'Ensemble', '1930s', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],4000000.0
4,The Wizard of Oz,['PG-13'],"['3-D', '3-D - Post-production Conversion', 'IMAX: DMR', 'Other_Keywords', 'Same Actor, Multiple Roles']",['Based on Fiction Book/Short Story'],['Live Action'],['Fantasy'],['United States'],34989211.0
5,Mr. Smith Goes To Washington,['Not Rated'],"['Political', 'Romance', 'Framed', 'Comedy Drama', 'Government Corruption', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],9000000.0
6,Gone with the Wind,['G'],"['Historical Drama', 'War', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],390525192.0
7,Pinocchio,['G'],"['Kidnap', 'Rescue', 'Animal Lead', 'Talking Animals', 'Prologue', 'Other_Keywords', 'Coming of Age']",['Based on Fiction Book/Short Story'],['Hand Animation'],['Kids Fiction'],['United States'],84300000.0
8,Boom Town,['Not Rated'],['Romance'],['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],9172000.0
9,Rebecca,['Not Rated'],"['Romance', 'Relationships Gone Wrong', 'Other_Keywords', 'Voiceover/Narration', 'Infidelity', 'Surprise Twist', 'LGBTQ+', 'Orphan', 'Film Noir', 'Directing Yourself', 'Terminal Illness', 'Accidental Death', 'Suicide', 'Unnamed Character', 'Prologue', 'Cross-Class Romance', 'Psychological Thriller']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],6002370.0
10,The Philadelphia Story,['Not Rated'],['Romance'],['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],3007145.0
11,Sergeant York,['Not Rated'],"['Biography', 'Biographical Drama', 'Other_Keywords', 'Single Parent', 'War']",['Based on Real Life Events'],['Live Action'],['Dramatization'],['United States'],16400000.0
12,Suspicion,['Not Rated'],"['White Collar Crime', 'Romance', 'Relationships Gone Wrong', 'Gambling', 'Film Noir', 'Fired', 'Dysfunctional Family', 'Other_Keywords', 'Money Troubles', 'Inheritance', 'Psychological Thriller']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4500000.0
13,Buck Privates,['Not Rated'],"['Delayed Adulthood', 'Romance', 'Buddy Comedy', 'Other_Keywords']",['Remake'],['Live Action'],['Contemporary Fiction'],['United States'],4000000.0
14,Dumbo,['G'],"['Animal Lead', 'Talking Animals', 'Voiceover/Narration', 'Performing Arts', 'Other_Keywords', 'Coming of Age', 'Same Actor, Multiple Roles']",['Based on Fiction Book/Short Story'],['Hand Animation'],['Kids Fiction'],['United States'],18429.0
15,Mrs. Miniver,['G'],"['Romance', 'Romantic Drama', 'Other_Keywords', 'World War II']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],13500000.0
16,Cat People,['Not Rated'],"['Romance', 'Supernatural', 'Relationships Gone Wrong', 'Other_Keywords', 'Supernatural Horror', 'Love Triangle']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],8000000.0
17,The Song of Bernadette,['Not Rated'],"['Biography', 'Religious', 'Other_Keywords', 'Biographical Drama']",['Based on Factual Book/Article'],['Live Action'],['Dramatization'],['United States'],12500000.0
18,Casablanca,['PG'],"['Romance', 'Corrupt Cops', 'Film Noir', 'Romantic Drama', 'World War II', 'Immigration', 'Other_Keywords', 'War']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],10565232.0
19,A Guy Named Joe,['Not Rated'],"['Romance', 'Supernatural', 'In a Plane', 'Romantic Drama', '1940s', 'Other_Keywords', 'Love Triangle', 'Haunting']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],5363000.0
20,Girl Crazy,['Not Rated'],['Romance'],['Based on Musical or Opera'],['Live Action'],['Contemporary Fiction'],['United States'],3800000.0
