Source,Occurrences
Original Screenplay,3588
Based on Fiction Book/Short Story,1335
Based on Real Life Events,510
Remake,234
Based on Comic/Graphic Novel,186
Based on Factual Book/Article,182
Based on TV,169
Based on Play,132
Based on Folk Tale/Legend/Fairytale,44
Based on Game,42
Based on Movie,31
Based on Musical or Opera,28
Based on Short Film,27
Spin-Off,26
Based on Religious Text,21
Based on Toy,16
Based on Theme Park Ride,6
Compilation,4
Based on Musical Group,3
Based on Song,2
Based on Ballet,2
Based on Web Series,2
Based on Poem,1
