Total adjusted box office,Lasso predictions,Ridge predictions,Elastic net predictions,Random Forest predictions
1722857392.0,213624958.04076207,213624959.6217085,213625498.71795875,162911806.6
3946916.0,206317073.76468602,206317075.90303928,206317805.07273927,62043041.6
357217157.0,267743718.8668457,267743716.3198987,267742847.82139552,194586071.7
13556024.0,257971535.82661247,257971534.025036,257970919.69483542,89077183.46666667
134862.0,216195471.29702824,216195472.6819095,216195944.92073512,32737845.633333333
136791780.0,264812061.86826545,264812059.54492977,264811267.29697165,73819163.93333334
6955709.0,257801585.57814586,257801583.7895323,257800973.87963024,101738489.56666666
490991961.0,203385418.9760676,203385421.33803207,203386226.7582196,512357478.6333333
212539823.0,251736460.14662215,251736458.82062435,251736006.6608002,251525470.73333332
9242949.0,255507247.64273232,255507246.02911878,255506695.79349583,153511978.6
7728565.0,257822829.77423853,257822827.9840046,257822217.5215544,101738489.56666666
4626754.0,229738436.91291437,229738437.26480967,229738557.25966194,222799922.83333334
100897464.0,250631778.61105263,250631777.36931413,250631353.94155827,218060328.53333333
52071010.0,232107126.51649603,232107126.6877202,232107185.07445344,1146569686.2
237256.0,221124048.17238206,221124049.18133748,221124393.23099458,193176062.73333332
28016019.0,225999515.292704,225999515.9297845,225999733.17162424,196153926.9
42682234.0,200336926.55972663,200336929.15421396,200337813.8637619,82785818.56666666
24230730.0,253457214.80643165,253457213.34918377,253456716.4336188,22515588.2
110252322.0,225171004.67461744,225171005.37489238,225171244.16576946,482329031.8
76757049.0,205286746.9103973,205286749.12733847,205287505.09518853,98619217.33333333
24906694.0,257047428.83322135,257047427.1021309,257046836.80736893,30543088.833333332
83022695.0,269432617.6955936,269432615.01982635,269431702.5941324,83005830.93333334
6408728.0,232372675.16017002,232372675.31113952,232372726.79112044,79743538.56666666
42906285.0,267648120.53910428,267648117.999449,267647251.9873979,137992506.93333334
1429439.0,214166682.57548693,214166684.1151135,214167209.12145108,3239381.533333333
53981039.0,265226318.1028707,265226315.7479377,265225512.72543684,71848674.16666667
46635853.0,204745029.36098993,204745031.61925048,204745801.67683148,73604973.2
8837969.0,260106545.6895278,260106543.72510406,260105873.8646468,214979842.56666666
45285957.0,253722762.66097265,253722761.1834702,253722257.36117342,37955355.733333334
707940739.0,250801729.65256572,250801728.39786422,250801300.54978925,266044300.96666667
594709.0,201845239.34687534,201845241.82631657,201846087.3056025,924167.5
263486.0,201717777.74783632,201717780.23699963,201718629.03148118,372166.1666666667
458201912.0,205743485.3362583,205743487.51836187,205744231.60673425,558187584.8
592746875.0,257663500.84298873,257663499.06490755,257662892.74650213,218663214.06666666
16241609.0,243886851.34411466,243886850.61684358,243886602.6203816,287480043.8
92065457.0,266511573.61159617,266511571.1586307,266510734.7074466,69627955.2
5367008.0,206582623.4636014,206582625.58169997,206583347.84462017,62800149.266666666
548692914.0,227348500.06028813,227348500.5944752,227348682.750074,497830353.56666666
71790208.0,207814767.59743863,207814769.62155572,207815459.837186,195819050.73333332
239928834.0,264004795.13513437,264004792.87337273,264004021.62191194,285520354.56666666
21275813.0,248974756.98536533,248974755.87001568,248974375.5403447,35018416.2
6427698.0,246223676.8379007,246223675.93238893,246223367.15657324,110439622.96666667
37033174.0,258226462.08862564,258226460.26760474,258225839.30693325,103352956.5
20057712.0,261423665.06605968,261423663.00117302,261422958.88327345,55409079.43333333
44193339.0,232765686.31830466,232765686.43929735,232765727.6973065,91509686.23333333
949005704.0,208197152.27874297,208197154.2736938,208197834.54374027,211519559.23333332
991568063.0,218468563.01749775,218468564.22899958,218468977.34614667,651162028.7
5760093.0,203587236.8589093,203587239.20548013,203588039.37651214,334235340.5
193293.0,223662690.86526582,223662691.680587,223662969.70175266,1146678319.1666667
10304754.0,257918426.7991029,257918425.00157732,257917812.05270895,89077183.46666667
310561393.0,255252321.05626398,255252319.46209487,255251775.85695127,405977460.8666667
288824.0,208568925.32084206,208568927.287436,208569597.8879007,11311514.633333333
1037626215.0,208335236.79186907,208335238.77628753,208335915.45484313,48142308.833333336
6503036.0,202174520.27990067,202174522.73422605,202175359.64912313,6811659.0
33490449.0,258183975.07069415,258183973.25291395,258183353.39730296,98481543.5
306072569.0,249665182.8204881,249665181.6524764,249664783.36526597,629279971.8666667
18479882.0,206911903.25491512,206911905.34789795,206912619.04645896,41985400.7
564433316.0,229557862.16223335,229557862.52790198,229557987.21938932,716877674.4
656943.0,225850807.92642352,225850808.57484666,225851029.68447095,238683516.96666667
19010242.0,200113866.36173955,200113868.97324073,200114759.4844434,38707679.766666666
10304754.0,257897184.31474283,257897182.5188375,257896570.12247276,96117830.73333333
7052652.0,199986401.93461177,199986404.55583528,199987298.38230708,1369087.2333333334
120987579.0,243175181.3856071,243175180.71261844,243174951.22624213,341232675.73333335
5365449.0,248634855.103345,248634854.01392126,248634482.52488333,171290472.06666666
516179.0,205924063.54735604,205924065.71568605,205924805.1073333,275102379.6
666691528.0,233997828.071211,233997828.09822246,233997837.30900362,921036056.1666666
763404780.0,223513982.6221337,223513983.44879752,223514265.33777058,1146678319.1666667
1766855.0,227635294.92972872,227635295.4420406,227635470.13828617,34711723.53333333
4857501.0,202015191.8588019,202015194.32528,202016035.38420856,1495250.7333333334
481181018.0,247084052.22255433,247084051.25141764,247083720.09778216,287013891.3666667
243881035.0,200623715.960856,200623718.53346854,200624595.78380546,83207288.83333333
28991106.0,218734113.58944225,218734114.78068927,218734520.99103388,817193820.3333334
138259.0,201664666.96103734,201664669.45425165,201665519.6301112,372166.1666666667
42515179.0,207389890.24692726,207389892.30345175,207390593.5698733,184311492.03333333
92474628.0,266713390.64115578,266713388.1727968,266712546.47247934,79056740.8
9391062.0,247498309.01990077,247498308.0171668,247497966.0889739,9301932.5
18911953.0,214612803.33114204,214612804.83674085,214613318.23975962,10534714.533333333
77149824.0,266500951.6195208,266500949.16736552,266500112.99245274,69627955.2
211126806.0,223004129.8354888,223004130.70104152,223004425.8509632,159600987.2
498229.0,221315243.01400012,221315244.00837222,221315583.08517236,3341711.8
817040540.0,261051897.10896006,261051895.0724299,261051200.62397987,338132129.1333333
261298904.0,238862676.28019655,238862675.93614304,238862558.615298,382366912.43333334
320390485.0,200719314.90142247,200719317.46674326,200720192.2306122,83203315.2
7388513.0,206965012.82103294,206965014.90996486,206965727.22717962,48977217.0
924514144.0,216068004.87033755,216068006.26494128,216068481.81908807,848267928.6666666
37007646.0,206147123.79616126,206147125.94747743,206147859.53746864,122478367.73333333
1489836.0,209015045.05711716,209015046.98968345,209015705.98685586,42571758.5
12093182.0,265566220.22935554,265566217.84849662,265565405.98535633,180994133.63333333
38722168.0,238097896.90356258,238097896.6178424,238097799.18842542,46122717.333333336
19384818.0,236239059.43652844,236239059.29259056,236239010.2103609,28853913.533333335
73549551.0,207655437.32011822,207655439.35638818,207656133.71609825,184283041.66666666
38156489.0,263675515.26413184,263675513.02748594,263674750.34038642,165584384.9
14099511.0,239553102.09031668,239553101.69360113,239552966.41521728,22109970.2
123414691.0,246999078.4433204,246999077.47866505,246998748.53514385,291217217.03333336
11939915.0,232542627.09332326,232542627.23132977,232542674.29096833,79743538.56666666
