Total original B.O,KNN predictions
4779961.0,40330475.551243424
207784007.0,63518488.346551575
12793213.0,20778736.803018138
1905109.0,3227772.5998335853
2767133.0,30925826.103013802
78867205.0,19722201.513419747
89758389.0,85715317.9969944
9748233.0,11007792.905853892
17336686.0,38020647.48514474
103300690.0,125339520.16411392
8594558.0,21008799.97908925
15644196.0,36006539.983267665
21494849.0,14941376.971372511
132440066.0,79093985.94061738
123327692.0,112694312.52782072
71189835.0,131843387.2210427
24660323.0,26505213.376096994
17657973.0,50701218.71257661
142634358.0,76369295.7343775
270944428.0,23363647.453454375
490359051.0,518336296.7114083
231450102.0,141313752.8706133
1658706.0,144675369.48857617
11217346.0,42177120.72786581
33886017.0,53554691.1772017
63408614.0,45668141.03711086
32608019.0,100557717.16029397
10030875.0,19006008.03775783
114000.0,1950986.240400565
24058000.0,12442834.643413663
33518508.0,52821419.79727868
6139896.0,65990298.115808345
17216955.0,24728626.984846663
18285560.0,75066562.55729994
11993156.0,4442823.537271169
316802281.0,142779980.21827075
32945797.0,132844383.26105416
149217355.0,158750356.6356431
9000000.0,60578667.70034815
23540266.0,84496879.18063602
201324422.0,55892193.54939232
282332.0,22845983.72480352
38728987.0,32034594.870114017
25514479.0,34584482.64254819
348629585.0,330565459.5317993
1027760.0,27312502.119613517
1165996.0,35323425.695330545
5186392.0,16697018.093790567
2433722.0,9587103.886793597
3910019.0,55049070.83043786
621156389.0,448143067.0997611
20278055.0,49833646.42346482
349464664.0,289333294.8957595
18535575.0,10732791.86954157
25587804.0,49131615.875192575
155769678.0,138769840.91962183
22852487.0,95570867.96276426
12910360.0,95091808.2248091
7400000.0,19982446.059484947
362211740.0,123404617.02617297
36000000.0,63627414.61894636
32002177.0,37653323.36135829
347425832.0,151037876.92580324
11000414.0,13419518.14912844
3237975.0,2859598.7023593956
6000000.0,83423009.43249267
217370736.0,245453439.9104741
86300489.0,141780215.5174475
37956589.0,23736853.75756869
4495262.0,34606098.25440342
16337355.0,33006475.74640507
197618160.0,53188751.814599976
34327391.0,87391450.4756866
16376066.0,34671820.68085826
26220877.0,187151860.0676548
963667273.0,792665246.7131909
119180938.0,135387013.75999084
83977418.0,67481265.03155978
354836.0,43654920.62078928
153007424.0,134544094.15944782
4755853.0,15223715.951894585
878271291.0,575981550.2353381
1777709.0,4066390.3261195603
6756412.0,111854377.74111713
57577765.0,66211619.361054145
492846291.0,433502004.8843034
8408835.0,63038094.97930023
238521247.0,199915498.44038686
4940419.0,4919430.652227514
36520451.0,58616777.23122867
5571497.0,35402209.93145614
2715657.0,12330531.917497963
8853155.0,35333218.98165699
13596911.0,121729247.09349155
940936.0,5497593.152536068
69911903.0,67805419.73923805
102296470.0,20478584.733894937
124827316.0,69537617.88825142
9000000.0,46333127.77450253
31878891.0,57458369.152123064
22165608.0,89333002.41419838
57753825.0,105032093.90219416
183920.0,18261276.919315938
22505932.0,20620732.012118526
266685242.0,173991851.17158803
273330185.0,225057079.8254977
34409206.0,40603044.14289403
77024944.0,42714980.460119955
672806292.0,94114115.37966983
80491516.0,27067963.630669255
20506260.0,74187821.0672207
81428388.0,72714256.44509995
28824741.0,14581431.378135012
250397798.0,168269159.09300622
22815460.0,10587279.63287441
18709.0,13131922.300366312
1309971.0,50835109.52742207
158527918.0,102347861.34058596
39719431.0,74454916.2376049
137298489.0,197769107.50409877
62063972.0,44398280.76606049
71232214.0,39673718.85636712
35078913.0,20407436.761264205
56968169.0,80068038.38644281
560483719.0,361614952.268006
25344490.0,113611838.67038253
102028919.0,173066508.09482312
110879513.0,53366639.43648777
78900000.0,104645241.89729016
133214549.0,273676231.33767986
27187896.0,56568625.64542006
57386682.0,64613601.31276241
43646976.0,216533636.01675302
198750909.0,53592860.39056064
1647416.0,66453761.87276807
810183.0,5482302.835393391
16202210.0,12062727.524292786
