Total original B.O,NeuralNetwork predictions
4779961.0,170125942.48210973
207784007.0,17016378.004453328
12793213.0,51218159.141978405
1905109.0,166978799.25039524
2767133.0,45063287.61147957
78867205.0,163289039.39581874
89758389.0,60952520.94713634
9748233.0,53680107.75461179
17336686.0,54186976.64549734
103300690.0,69417270.79663152
8594558.0,114019916.8160704
15644196.0,54115609.222210705
21494849.0,14988893.099837134
132440066.0,41901370.14239831
123327692.0,99369408.1174743
71189835.0,19695556.260165617
24660323.0,74789105.94035617
17657973.0,30674786.515687868
142634358.0,47441501.99379628
270944428.0,95137036.83009198
490359051.0,82277168.35309924
231450102.0,17272282.236231845
1658706.0,143212412.60710305
11217346.0,3596347.6731484425
33886017.0,29263994.9800564
63408614.0,49142394.882341385
32608019.0,112066516.43627702
10030875.0,48321747.022558935
114000.0,39753204.25568064
24058000.0,68669033.79223165
33518508.0,100888716.7675091
6139896.0,61114229.864968404
17216955.0,75820064.57017307
18285560.0,152491069.49769917
11993156.0,34690110.39656205
316802281.0,37240394.0073113
32945797.0,54500755.477890104
149217355.0,72781451.45245714
9000000.0,67848383.2735543
23540266.0,18737335.561724342
201324422.0,37218840.131478496
282332.0,177776767.49401996
38728987.0,176854327.44421282
25514479.0,27588275.01075151
348629585.0,6589297.576260362
1027760.0,119066203.82650378
1165996.0,116895753.21905144
5186392.0,42577202.32562829
2433722.0,63262399.291693226
3910019.0,69296587.0114494
621156389.0,45271064.287188075
20278055.0,30219181.851935383
349464664.0,26115929.97166176
18535575.0,505589.21339523996
25587804.0,57204072.35620856
155769678.0,17814895.451257534
22852487.0,24716000.957408987
12910360.0,43860247.18068179
7400000.0,77672055.53583272
362211740.0,17209468.01383773
36000000.0,78685805.79497637
32002177.0,77768601.14633651
347425832.0,17330153.917813446
11000414.0,69731048.53763703
3237975.0,90796144.71563281
6000000.0,75427329.54407808
217370736.0,71804747.60474847
86300489.0,74003257.34317909
37956589.0,30605371.13316659
4495262.0,142941106.7635217
16337355.0,54114570.308244646
197618160.0,70610999.0197795
34327391.0,30726054.331162795
16376066.0,152599587.89787072
26220877.0,49214805.411788866
963667273.0,17402561.047060255
119180938.0,36567147.331307195
83977418.0,25681474.685747333
354836.0,132740006.48278098
153007424.0,28481334.618476395
4755853.0,42528928.20515235
878271291.0,134042307.1306657
1777709.0,93997552.71001372
6756412.0,141096230.11759737
57577765.0,29318262.937374566
492846291.0,95245576.64419736
8408835.0,21360995.278836872
238521247.0,135832911.27462983
4940419.0,129321561.64397733
36520451.0,3017061.601369912
5571497.0,101485595.30579747
2715657.0,43643203.673663154
8853155.0,61428006.05053696
13596911.0,15157846.254037607
940936.0,117167065.2628309
69911903.0,161172854.239193
102296470.0,77116904.77062416
124827316.0,121073868.80603394
9000000.0,61452142.56935111
31878891.0,43751730.58184585
22165608.0,8753282.506618531
57753825.0,16268140.620502181
183920.0,55309349.468440264
22505932.0,12044207.774454756
266685242.0,9702942.222569067
273330185.0,17112921.21875829
34409206.0,4296311.00179798
77024944.0,149452448.696545
672806292.0,23509163.36143979
80491516.0,13395866.974484704
20506260.0,74799771.27054349
81428388.0,64425228.26339688
28824741.0,78878901.26710948
250397798.0,9775350.856704924
22815460.0,41364234.55476518
18709.0,70575836.01148424
1309971.0,170885600.079676
158527918.0,2268823.5563026387
39719431.0,15809543.551862009
137298489.0,39294598.01675403
62063972.0,19261096.24041875
71232214.0,9582261.281979315
35078913.0,60003934.80618336
56968169.0,25536649.91198213
560483719.0,17354286.82686597
25344490.0,10596005.352072509
102028919.0,130026966.32554469
110879513.0,49769953.36462909
78900000.0,77020358.23551786
133214549.0,148367237.64543605
27187896.0,60534944.266562514
57386682.0,73954983.68951312
43646976.0,174521104.22774234
198750909.0,25874564.895518776
1647416.0,116244625.30882974
810183.0,177939553.98378342
16202210.0,68089748.7289804
12567770.0,38039491.51657941
336529144.0,34684475.71606415
27805632.0,75982849.05564848
60780981.0,16364686.524735846
167586.0,168118281.10931388
20722450.0,12497303.186767507
153535982.0,5961746.657221225
20790486.0,75114674.36805363
25038874.0,77865151.48697038
14600000.0,61790056.86374269
794697557.0,6830658.909454576
