Total original B.O,RBFNetwork predictions
4779961.0,7530743.7706694715
207784007.0,91845258.1844134
12793213.0,140011.87064917682
1905109.0,262804.08255179896
2767133.0,241538.27418399788
78867205.0,14366290.950446643
89758389.0,1908923.6950420544
9748233.0,3108442.1760939127
17336686.0,8959007.734132271
103300690.0,233781.97508684683
8594558.0,7198295.199749283
15644196.0,-967685.4910829768
21494849.0,5915115.856243929
132440066.0,132106931.51801568
123327692.0,22804511.741329268
71189835.0,37987973.66158188
24660323.0,11196174.66232153
17657973.0,15771490.451577453
142634358.0,40566668.18278704
270944428.0,149326150.2429969
490359051.0,592302428.6133088
231450102.0,3829253.423504763
1658706.0,3643321.780087106
11217346.0,4486118.927322838
33886017.0,2868581.3540238603
63408614.0,8165004.864269687
32608019.0,23352475.274060618
10030875.0,3607507.1125099324
114000.0,-2299319.467560491
24058000.0,9221757.464995055
33518508.0,13357449.554539753
6139896.0,2018822.7658106585
17216955.0,4242.522402493541
18285560.0,6420478.574714795
11993156.0,-526803.4099170578
316802281.0,104933601.30138381
32945797.0,11209658.702580273
149217355.0,34235651.66912745
9000000.0,552550.8690261353
23540266.0,13929178.29716
201324422.0,16912563.328562744
282332.0,-1000610.5031686864
38728987.0,116253.56974708162
25514479.0,614135.0468905276
348629585.0,52380489.51430417
1027760.0,2474982.437885352
1165996.0,-14303893.678099735
5186392.0,3527188.9330443144
2433722.0,1284385.7680782052
3910019.0,1159345.380201049
621156389.0,295580537.566065
20278055.0,7322145.399471314
349464664.0,168665886.48995656
18535575.0,10096285.320471896
25587804.0,8622494.091125986
155769678.0,28824239.151260745
22852487.0,20006987.2803289
12910360.0,40347016.091422215
7400000.0,5624190.112473765
362211740.0,142728797.1787917
36000000.0,10944192.847693015
32002177.0,28515275.524272878
347425832.0,316279155.2812238
11000414.0,7274715.738922196
3237975.0,7820528.447081856
6000000.0,463145.5507300899
217370736.0,58102730.16100231
86300489.0,31494151.677007962
37956589.0,53277331.04717349
4495262.0,4210511.428865852
16337355.0,7038199.661602382
197618160.0,62496798.67254958
34327391.0,56059669.81185008
16376066.0,39625308.270146355
26220877.0,17188382.0267259
963667273.0,138821.79660928983
119180938.0,16890275.691676218
83977418.0,-1407239.5150416302
354836.0,946840.8491505018
153007424.0,17459836.855133165
4755853.0,1894025.62172143
878271291.0,264022887.66895694
1777709.0,5048966.559871151
6756412.0,8351130.811353514
57577765.0,14810549.37943639
492846291.0,208983551.09690192
8408835.0,6538809.048726859
238521247.0,61734759.99279766
4940419.0,-812040.4094083253
36520451.0,15205169.462914702
5571497.0,5248104.738082615
2715657.0,7555462.11998977
8853155.0,2621421.0602575275
13596911.0,7778135.45296421
940936.0,4265074.702010677
69911903.0,89470076.33757974
102296470.0,12498557.027381016
124827316.0,63618670.128888376
9000000.0,2666077.7149672643
31878891.0,47204376.863157704
22165608.0,17517326.794070665
57753825.0,1454624.5795071935
183920.0,-2674346.922714428
22505932.0,9950190.636404572
266685242.0,45250065.33075978
273330185.0,28121065.201858036
34409206.0,11918942.643499052
77024944.0,72577975.34073307
672806292.0,615177248.1852257
80491516.0,22907963.276963517
20506260.0,10647553.051261403
81428388.0,21498745.38796419
28824741.0,1984580.7432424582
250397798.0,113674052.11595094
22815460.0,5568456.514272936
18709.0,220832912.21144187
1309971.0,-138570.65978879307
158527918.0,26688231.511066232
39719431.0,35625029.87428751
137298489.0,37149311.29560764
62063972.0,19490754.76284879
71232214.0,83126274.8892476
35078913.0,520182.3553088092
56968169.0,43002359.253663614
560483719.0,15946211.220441615
25344490.0,134638.42389848616
102028919.0,2366593.074528455
110879513.0,36976736.50057799
78900000.0,-3966939.025364696
133214549.0,161839302.43188518
27187896.0,12871313.208292764
57386682.0,42454837.95906078
43646976.0,50246994.14703542
198750909.0,134726727.12552458
1647416.0,-2813892.382513795
810183.0,1471936.0254750957
16202210.0,10264235.879467627
12567770.0,2190281.817616179
336529144.0,121990924.67527972
27805632.0,6143875.976333762
60780981.0,44576455.32310302
167586.0,-2421372.830947053
20722450.0,23483247.03115282
153535982.0,33563879.701550186
20790486.0,15095959.051256567
25038874.0,31550702.838831797
14600000.0,2708822.267841958
794697557.0,611008001.9071178
128745578.0,29388434.918079562
18148.0,588626.8604164378
130673154.0,23257125.99470232
36722311.0,15121718.616741747
528731.0,2855493.9046030478
19526014.0,8516722.875899427
88611837.0,9473385.753255785
190376181.0,204191067.79061618
7721851.0,6381454.329892316
310566162.0,148362127.17117283
74781999.0,61001148.119267024
50681884.0,-19879063.95713351
28773637.0,11014087.564357482
2848234.0,5592997.420529541
27084499.0,10038344.386658091
1045713802.0,379968001.6668526
1055083596.0,729881049.6234567
131237688.0,48004961.50663381
238059569.0,174108430.77196196
14297083.0,4658904.959083286
342416460.0,98081514.01887338
49741540.0,-2544269.5374264
465487583.0,292064184.39645135
8400000.0,6749933.145456259
9208876.0,22535114.66964012
10353438.0,3586470.467103466
16727470.0,13531264.84369662
16873925.0,6950063.921189177
12905107.0,-3879835.6466462202
31286759.0,20350673.32128953
3185717.0,-11858178.902745768
40016662.0,13646233.116239274
68275764.0,27333554.818704315
50873923.0,10037283.714613894
324976.0,553829.3565100599
9230769.0,4982937.540002592
14636067.0,8268809.153087513
73956241.0,11678891.131148096
17200000.0,383509.753207631
62176754.0,14674365.473488964
167780960.0,117860041.61586449
37306334.0,16300984.656594642
117085297.0,17001955.122898396
101773.0,81386671.03607371
12282994.0,3548746.660174882
38900000.0,26319889.704939645
14929184.0,534715.4114151793
23271741.0,20407436.73808575
69847348.0,50849170.880894884
21289527.0,6339814.984354164
31943401.0,10048968.72390708
12017369.0,4389316.37838649
24218678.0,1418845.3155129512
16511348.0,19591951.35760825
6955892.0,5372553.564828529
521170825.0,74348144.72032428
21577076.0,13251547.130344134
38261299.0,22060655.55946087
135808837.0,75709750.85614754
6468664.0,18465136.05345773
656695615.0,373260588.0709769
7985929.0,20027409.732007284
56096200.0,73442488.32598111
5965646.0,5277214.69290577
3000000.0,1570122.6845932065
3531971.0,1285665.6160247575
9000000.0,7534338.31149778
350976753.0,487840341.6211406
554600000.0,151036037.68978077
15349948.0,6082551.346246727
46752858.0,14918378.708900085
82078046.0,18289233.128075197
63895607.0,5950204.799163969
51684798.0,-43347544.78241119
3815394.0,-224839.11395622863
77628265.0,41405929.80524384
164920076.0,32824652.222249795
62617547.0,35309229.4994103
164285587.0,47297170.44982819
48017402.0,29994444.84029158
105475310.0,83796348.01402065
11307615.0,6878187.896496112
52545707.0,45075730.41949742
850566343.0,920294198.1783333
153329844.0,49381898.642487824
111534881.0,150083587.25629282
11798302.0,9286929.98632371
648183.0,-10961911.75697948
66132626.0,25191659.238227136
5119629.0,6473419.343604282
2024063.0,-1007.7928319444898
220796009.0,32517519.342936188
68109966.0,44282540.59333467
8025872.0,4654883.56280665
11124511.0,154529.7311007165
14812144.0,5686287.9261162905
31261000.0,18379043.441629756
15779261.0,26898283.91851026
35856053.0,494055.88948645577
7008922.0,-37158528.866813645
95592669.0,99366933.43834123
2852759.0,-70710910.098308
14566246.0,926768.2889332299
177241171.0,145161237.00936815
46819069.0,18370737.001890253
24324476.0,1861321.4355312372
852558.0,1224798.3252590876
12850033.0,2102949.4075727286
53401938.0,56892498.56966304
19637147.0,7422916.931565411
37497480.0,23918785.567858294
9205935.0,8406826.95639728
23689877.0,52638597.59776192
23106971.0,14737663.448316531
874000.0,5827912.8186146645
57138719.0,108928777.92568427
116280867.0,24725923.83114087
172878928.0,50520435.298872925
2853801.0,-646732.8902676705
10885816.0,9875583.209788702
27789904.0,35440235.60183081
57697426.0,152347935.78776845
2053931.0,7446947.919313483
18120267.0,2920229.4850641
167851995.0,50780840.033001065
78652207.0,214945220.40277153
68336997.0,77186048.78184788
710644566.0,94510.75116895908
96971293.0,54917868.3287465
47289148.0,14424232.298355442
21375166.0,4506.542653770622
21156152.0,15288682.656653564
7785229.0,7358023.472339121
38959900.0,951783.1093419963
96096018.0,33103267.30978497
529076069.0,74598183.37967156
254310003.0,-6096391.2425879175
4271022.0,2420750.9456892456
15427.0,136072.8459099084
94029472.0,8715656.658232378
74870866.0,22782026.69059552
27731527.0,9419062.614853175
18100189.0,27945263.576583613
37336874.0,18386452.505688053
266600000.0,42753627.20891359
19123851.0,15362258.484463017
18413804.0,5841561.094696509
33592700.0,5719773.382217017
9000000.0,6739247.321709927
157300954.0,9857719.574763339
46829309.0,18782228.871017758
2354875.0,1063764.4531253765
1887554.0,-5501730.787092716
6000000.0,109155.60892700114
12500000.0,6773712.6343200635
13205411.0,7726807.462859033
211562435.0,134508835.78459397
36734619.0,38886852.6730448
305384865.0,39414847.28937318
234723148.0,43241930.82259013
12254746.0,3998929.5584752723
7862131.0,5608611.657396143
4205944.0,4047561.0166126736
86432520.0,2684105.7985807434
149270999.0,148603226.14110798
4027663.0,545450.4983671303
9561231.0,15326735.864171037
56445534.0,24108906.894663844
213966221.0,7720028.737639497
74156610.0,88205413.94587111
153302565.0,17327842.584745135
11279884.0,7567865.393056227
12624174.0,16534933.242958896
15461638.0,8535353.533119848
17400005.0,2850406.857054757
29083597.0,13931424.029883688
13736872.0,-11785.96577759704
33339868.0,505192.5837108716
7190505.0,4086631.5879250546
42446455.0,6807980.836685508
43164679.0,1102710.3008351112
22750356.0,7969939.877382467
41598366.0,62334241.24160711
17224992.0,4682477.093860405
220648184.0,253973735.7534449
60217171.0,8954447.999981564
20741000.0,1247646.9927444414
3988612.0,-215226.9505636078
784206372.0,14279876.343197802
1188194.0,-664653.7665250117
151716815.0,58125772.81678072
77593167.0,6773644.842673124
62761005.0,17060024.656119443
157670733.0,6325724.660585436
138708527.0,105507972.1188864
11131455.0,4294115.129744622
342769200.0,106153924.31512788
22099706.0,19648559.649665125
297718711.0,203394234.57101014
76346094.0,46159729.048859805
42425450.0,35491610.948628075
101134059.0,1296864.6562513364
52743674.0,13466422.546892991
65532491.0,17404074.318652306
391081192.0,472069158.5873129
195300000.0,13884412.514954312
235900000.0,108604162.72791594
4730228.0,-112380537.47933516
4348025.0,-8099670.1713980315
27484464.0,13868379.07797204
25942000.0,9255623.997588934
292203.0,4604913.501830609
1507310.0,13536457.860873612
257767797.0,24862386.342138182
4581937.0,396298.21565335046
23014027.0,2493506.0010871654
7736103.0,2587693.3122093566
7195105.0,42058.80226778127
72270895.0,16199636.305217825
49628177.0,31934731.430727664
217194805.0,120268080.73606881
3107000.0,1169526.4387862054
21000000.0,2989916.7106513195
15728335.0,5873698.889042012
6093725.0,28834.698186938633
114770654.0,40490474.46120345
1434847.0,713575.3690647178
6487257.0,8986885.451502182
441286003.0,83770011.29870455
28992658.0,13027034.679077163
89476265.0,92217468.86397026
190506000.0,224220700.2142686
21410546.0,10967580.805444552
183015237.0,184955450.09981686
21709539.0,26205042.801351566
127361412.0,44445675.16230284
39549758.0,15215573.0853536
4911725.0,14679803.042436093
9285189.0,679352.4743274141
39381963.0,13897878.150452036
43070915.0,44644526.84298505
70112484.0,108975679.26027957
67312826.0,37384279.45927655
263591415.0,248856.07543761178
173559438.0,151232272.118977
305502.0,538099.8558854563
69995047.0,4993971.568336779
399866199.0,113861845.67445922
33086611.0,10450430.424214726
20423389.0,6599083.625705021
7445044.0,-82379795.41664484
101379287.0,151807515.1260091
70712099.0,30903498.78444399
28153434.0,13960560.635620035
1131683.0,-2338318.467655698
7393346.0,2476176.1233716374
1237615.0,1485215.3859552802
