Total original B.O,XGBoost predictions
4779961.0,23241856.0
207784007.0,211644940.0
12793213.0,22802016.0
1905109.0,43086468.0
2767133.0,91217080.0
78867205.0,72976780.0
89758389.0,68307880.0
9748233.0,23137460.0
17336686.0,23137460.0
103300690.0,30423748.0
8594558.0,23487814.0
15644196.0,10218509.0
21494849.0,23069154.0
132440066.0,75755090.0
123327692.0,45836330.0
71189835.0,99733640.0
24660323.0,65013948.0
17657973.0,35913120.0
142634358.0,127485304.0
270944428.0,274826600.0
490359051.0,421062800.0
231450102.0,66460560.0
1658706.0,36152380.0
11217346.0,29564698.0
33886017.0,78986560.0
63408614.0,56823932.0
32608019.0,57141260.0
10030875.0,20337190.0
114000.0,65332930.0
24058000.0,29584274.0
33518508.0,30656474.0
6139896.0,21720312.0
17216955.0,20104008.0
18285560.0,30892514.0
11993156.0,183999600.0
316802281.0,461034880.0
32945797.0,53200828.0
149217355.0,88284984.0
9000000.0,24385126.0
23540266.0,35761170.0
201324422.0,239403090.0
282332.0,1934458.1
38728987.0,11759585.0
25514479.0,51545404.0
348629585.0,277839550.0
1027760.0,72061416.0
1165996.0,62815250.0
5186392.0,64540060.0
2433722.0,48888172.0
3910019.0,30423748.0
621156389.0,362759230.0
20278055.0,17365666.0
349464664.0,181127040.0
18535575.0,19429210.0
25587804.0,33459928.0
155769678.0,66460560.0
22852487.0,41154000.0
12910360.0,24064444.0
7400000.0,31056998.0
362211740.0,211644940.0
36000000.0,20941266.0
32002177.0,31056998.0
347425832.0,211644940.0
11000414.0,30423748.0
3237975.0,4562360.5
6000000.0,37653044.0
217370736.0,143278800.0
86300489.0,65781520.0
37956589.0,63995740.0
4495262.0,36152380.0
16337355.0,23137460.0
197618160.0,381398900.0
34327391.0,63995740.0
16376066.0,30892514.0
26220877.0,56823932.0
963667273.0,211644940.0
119180938.0,51490090.0
83977418.0,181127040.0
354836.0,6324981.5
153007424.0,106657930.0
4755853.0,64540060.0
878271291.0,322289020.0
1777709.0,229640560.0
6756412.0,40320196.0
57577765.0,78986560.0
492846291.0,274826600.0
8408835.0,22493966.0
238521247.0,312242880.0
4940419.0,16690550.0
36520451.0,29564698.0
5571497.0,30656474.0
2715657.0,24064444.0
8853155.0,21720312.0
13596911.0,23069154.0
940936.0,62815250.0
69911903.0,132847820.0
102296470.0,38844396.0
124827316.0,188764050.0
9000000.0,21720312.0
31878891.0,24064444.0
22165608.0,35662140.0
57753825.0,101057304.0
183920.0,8879470.0
22505932.0,47064444.0
266685242.0,170229060.0
273330185.0,211644940.0
34409206.0,27294210.0
77024944.0,184472880.0
672806292.0,310946850.0
80491516.0,166839940.0
20506260.0,74052270.0
81428388.0,29730756.0
28824741.0,20941266.0
250397798.0,170229060.0
22815460.0,40115070.0
18709.0,68078020.0
1309971.0,5571039.5
158527918.0,106819190.0
39719431.0,41549924.0
137298489.0,55823836.0
62063972.0,52098140.0
71232214.0,170229060.0
35078913.0,41081140.0
56968169.0,181127040.0
560483719.0,211644940.0
25344490.0,210703420.0
102028919.0,16690550.0
110879513.0,109359640.0
78900000.0,38844396.0
133214549.0,184472880.0
27187896.0,41081140.0
57386682.0,65781520.0
43646976.0,48347948.0
198750909.0,181127040.0
1647416.0,15561414.0
810183.0,1934458.1
