Keywords,Occurrences
Romance,1425
Dysfunctional Family,930
Relationships Gone Wrong,855
Revenge,454
Non-Chronological,453
Voiceover/Narration,453
Surprise Twist,423
3-D,400
IMAX: DMR,385
Comedy Drama,382
Action Thriller,350
Biography,336
Coming of Age,332
Prologue,329
Infidelity,319
Young Child Dealing with the Death of a Parent,284
Film Noir,284
Organized Crime,269
Intertitle,264
Supernatural,263
Addiction,253
Animal Lead,252
Ensemble,247
Narcotics,239
Epilogue,238
Kidnap,237
Rescue,236
Political,234
Visual Effects,225
LGBTQ+,224
Religious,223
Biographical Drama,220
Death of a Spouse or Fiancée / Fiancé,213
African Americans,211
Directing Yourself,211
Farcical / Slapstick Comedy,211
Fugitive / On the Run,208
War,198
Romantic Drama,196
Crime Thriller,195
Sex Crimes,193
Corrupt Cops,192
Suicide,191
3-D - Post-production Conversion,191
3-D - Shot in 3-D,185
Musicians,183
Screenplay Written By the Star,173
Mental Illness,172
Money Troubles,171
Historical Drama,170
Supernatural Horror,165
Talking Animals,164
Death of a Son or Daughter,163
Writing and Writers,163
Love Triangle,162
Gratuitous Cameos,158
Terrorism,155
World War II,150
Road Trip,149
Inspired by a True Story,148
Medical and Hospitals,148
Heist,147
Hitmen,146
1960s,145
Action Adventure,145
1970s,144
Gangs,144
Set in New York City,141
Serial Killer,141
Mafia,138
Secret Agent,137
Action Comedy,135
Psychological Thriller,135
Corporate Malfeasance,131
Government Corruption,131
Life Drama,131
1980s,130
Delayed Sequel,129
Crime Drama,127
Terminal Illness,126
Undercover,126
Death of a Sibling,124
Novel or Other Work Adapted by Author,123
False Identity,121
Scene in End Credits,120
1940s,120
Remake,119
Crime,116
Fired,116
Single Parent,113
Prostitution,113
Motion Capture Performance,111
Set in New York,111
Faulty Memory,110
Bigotry,108
Haunting,106
1950s,105
"Same Actor, Multiple Roles",105
1990s,105
Cult Movie,104
Bullies,102
Family Comedy,100
Slasher Horror,100
Police Detective,100
FBI,99
Orphan,98
Framed,98
Monster,97
Foreign Language,97
Time Travel,96
Life on the Outside,94
Breaking the Fourth Wall,93
Car Accident,92
Development Hell,91
Robot,91
Martial Arts,91
Crime Comedy,91
Famously Bad,90
College,89
Gambling,87
Romantic Comedy,87
Set in Los Angeles,86
Buddy Comedy,86
Singers,86
Horror Comedy,85
Movie Business,84
Dream Sequence,84
Hood Film,83
Satire,83
Life in a Small Town,82
Underdog,82
1930s,81
Black Comedy,81
Spoof,81
Royalty,81
Possessed,81
Prison,80
Demons,79
Sports Drama,79
Delayed Adulthood,79
Widow/Widower,79
Twins,78
Faith-Based Film,77
Christmas,75
Alien Invasion,75
Adopted Family,74
Confidence Men,73
Lawyers,73
Erotic Thriller,72
Culture Clash,72
Missing Person,72
Domestic Abuse,70
Investigative Journalist,70
TV Industry,69
Vampire,69
Child Abuse,69
Unexpected Families,69
Autobiographical,68
Inheritance,68
Music Industry,68
Family Drama,68
Accidental Death,67
Animals Gone Bad,67
Disaster,66
High School,66
2000s,66
Post Apocalypse,65
Dancing,65
Dystopia,65
Buddy Cop,65
Marvel Comics,65
Cancer,64
Immigration,64
Family Movie,64
Mistaken Identity,63
Posthumous Release,62
Artists,62
Action Horror,62
No Honor Among Thieves,62
Performing Arts,62
Unnamed Character,62
Sibling Rivalry,62
Mid-Life Crisis,61
"Same Role, Multiple Actors",61
Professional Rivalry,61
Falsely Accused,61
C.I.A.,61
End of the World,60
Satirical Comedy,60
Faked Death,59
First Love,59
Hostage,58
Cross-Class Romance,58
Football,58
White Collar Crime,57
Psychological Horror,57
Family Affair,57
Private Investigator,57
Cross-Dressing,57
Good vs. Evil,56
Relationship Advice,56
Oscars Best Picture Winner,56
Internet,56
Autumn Years,56
Depression,56
New Guy/Girl in School,55
Food,55
Rock 'n' Roll,55
Prison Break,55
Jewish,55
In a Plane,54
War Drama,54
Blackmail,54
Father’s Footsteps,53
Near Future,53
Zombies,52
Inventor,52
Vietnam War,52
Doctors,52
News,52
Conspiracy Theory,51
Betrayal,51
Pregnant Women,51
Segments,51
Foreign-Language Remake,51
Wedding Day,51
Returning Soldiers,50
Hallucinations,50
1920s,49
Death of a Girlfriend / Boyfriend,49
1910s,49
Christmas in November,48
Interracial Romance,48
Faith-Based Drama,48
Early / Simultaneous Video-on-Demand release,48
Psychics,48
Escape,47
Nazis,47
Political Assassination,47
Secret Identity,47
Bollywood,47
Retirement,47
Boss From Hell,46
Mutants,46
Homeless,46
Digital Cinematography,46
Treasure Hunters,46
One Last Job,45
Poverty,45
Coming-of-Age Drama,45
Divorcée Romance,45
Out of Retirement,45
On a Boat,45
In-Laws / Future In-Laws,44
Friendly Alien on Earth,44
